Team,Points per Game,Expected Goal Difference per Game
Real Madrid,2.82,1.14
Paris S-G,2.67,1.66
Napoli,2.64,1.19
Barcelona,2.55,1.64
Arsenal,2.55,0.82
Manchester City,2.36,1.53
Milan,2.36,0.78
Lens,2.25,0.67
Lorient,2.25,-0.05
Lazio,2.18,0.1
Atalanta,2.18,0.58
Union Berlin,2.09,0.06
Atlético Madrid,2.09,0.19
Bayern Munich,2.0,1.4
Rennes,2.0,0.79
Real Sociedad,2.0,0.42
Roma,2.0,1.13
Marseille,1.92,0.41
Tottenham,1.92,0.43
Udinese,1.91,0.31
Chelsea,1.91,0.14
Inter,1.91,0.8
Freiburg,1.91,0.34
Lille,1.83,0.54
Betis,1.82,0.13
Eint Frankfurt,1.82,0.4
Manchester Utd,1.82,0.04
Newcastle Utd,1.75,0.6
Monaco,1.75,-0.22
Juventus,1.73,0.37
Dortmund,1.73,0.52
Athletic Club,1.64,0.77
Villarreal,1.64,0.52
Mainz 05,1.64,-0.13
Hoffenheim,1.55,0.42
Osasuna,1.55,0.14
Fulham,1.5,-0.57
Liverpool,1.45,0.45
RB Leipzig,1.45,0.67
M'Gladbach,1.45,0.26
Köln,1.45,0.17
Lyon,1.42,0.39
Clermont Foot,1.42,-0.9
Valencia,1.36,0.43
Werder Bremen,1.36,-0.13
Rayo Vallecano,1.36,0.06
Brighton,1.36,0.23
Toulouse,1.33,-0.14
Torino,1.27,0.02
Valladolid,1.27,-0.56
Augsburg,1.27,-1.02
Sassuolo,1.2,0.07
Salernitana,1.18,-0.51
Crystal Palace,1.18,-0.39
Bournemouth,1.18,-0.93
Brentford,1.17,0.01
Mallorca,1.09,-0.11
Everton,1.08,-0.55
Troyes,1.08,-0.25
Nice,1.08,0.25
Montpellier,1.0,-0.49
Hertha BSC,1.0,-0.45
West Ham,1.0,0.22
Aston Villa,1.0,-0.18
Empoli,1.0,-0.59
Wolfsburg,1.0,-0.41
Reims,1.0,-0.16
Southampton,1.0,-0.38
Celta Vigo,1.0,-0.27
Leicester City,0.92,-0.36
Nantes,0.92,-0.35
Fiorentina,0.91,0.09
Bologna,0.91,-0.4
Espanyol,0.91,0.0
Almería,0.91,-0.54
Sevilla,0.91,-0.78
Monza,0.91,-0.46
Getafe,0.9,-0.31
Girona,0.82,-0.08
Leeds United,0.82,0.12
Leverkusen,0.82,-0.15
Spezia,0.82,-1.02
Strasbourg,0.75,-0.55
Brest,0.75,-0.48
Auxerre,0.75,-0.75
Wolves,0.75,-0.25
Nott'ham Forest,0.75,-0.79
Lecce,0.73,-0.47
Stuttgart,0.73,-0.23
Ajaccio,0.67,-0.3
Angers,0.67,-0.18
Cádiz,0.64,-1.16
Bochum,0.64,-1.29
Schalke 04,0.55,-0.5
Hellas Verona,0.5,-0.47
Cremonese,0.4,-1.1
Elche,0.36,-1.63
Sampdoria,0.3,-0.67
