Mens Rank,Country Name,Mens Points,Womens Rank,Womens Points,2020,%Diff
66,Albania,1361.81,71,1346.01,13632.18654,1.1602205887752297
41,Algeria,1480.59,79,1288.27,11323.31222,12.989416381307448
120,Angola,1149.08,141,1041.91,6478.332182,9.326591708149115
132,Antigua and Barbuda,1117.01,172,804.42,18240.38041,27.98453012954226
3,Argentina,1770.65,31,1660.37,20769.03238,6.228221274673153
92,Armenia,1242.42,139,1072.97,13311.02814,13.638705107773541
202,Aruba,855.37,180,728.86,31182.83388,14.790090837883021
39,Australia,1483.73,12,1906.2,53316.88543,-28.473509331212554
33,Austria,1502.47,20,1813.37,55685.97029,-20.692592863751013
128,Azerbaijan,1127.17,81,1274.5,14478.52445,-13.070787902445941
85,Bahrain,1289.25,86,1254.12,43821.12449,2.7248400232693513
192,Bangladesh,883.18,147,1017.16,5995.407429,-15.170180484159518
166,Barbados,982.27,154,966.8,14045.77283,1.5749233917354728
96,Belarus,1226.55,55,1457.75,20237.55113,-18.849618849618853
2,Belgium,1821.92,19,1823.83,53070.21482,-0.1048344603495134
175,Belize,950.88,168,839.85,6165.849669,11.67655224634023
91,Benin,1258.71,145,1020.94,3505.138455,18.88997465659286
168,Bermuda,977.47,148,1007.55,80273.08171,-3.077332296643368
186,Bhutan,910.96,176,769.0,11129.30845,15.583560200228334
81,Bolivia,1298.81,98,1213.1,8283.131195,6.5991176538523755
57,Bosnia and Herzegovina,1403.98,63,1385.2,15598.43034,1.3376258921067232
146,Botswana,1060.17,151,979.35,15471.09481,7.623305696256264
1,Brazil,1837.56,9,1975.82,14834.1937,-7.524108056335575
74,Bulgaria,1325.16,92,1229.79,24564.43768,7.196866793443819
55,Burkina Faso,1425.64,140,1050.87,2273.831365,26.287842653124223
141,Burundi,1076.26,173,799.08,771.1012372,25.753999962834257
174,Cambodia,954.3,120,1142.14,4423.474631,-19.683537671591758
38,Cameroon,1484.95,59,1417.44,3867.203808,4.546281019562947
43,Canada,1473.82,7,1986.51,46572.13743,-34.786473246393726
196,Cayman Islands,865.72,165,854.05,72481.01386,1.3480109042184625
29,Chile,1514.86,39,1580.9,25089.0313,-4.359478763714152
78,China PR,1305.06,16,1862.87,17189.28179,-42.74209614883607
17,Colombia,1604.07,25,1700.4,14868.46982,-6.005348893751529
127,Comoros,1127.44,179,733.0,3147.856597,34.985453771375866
99,Congo,1215.09,114,1161.46,3689.111729,4.413664831411655
72,Congo DR,1332.84,115,1159.0,1141.726007,13.042825845562852
34,Costa Rica,1500.06,37,1612.44,22243.80196,-7.491700331986728
52,Cote d'Ivoire,1435.91,64,1379.39,5465.068781,3.9361798441406477
15,Croatia,1632.15,62,1404.39,28780.31674,13.954599761051373
84,Curacao,1293.35,175,771.22,20681.24471,40.370356052112726
108,Cyprus,1180.52,124,1123.46,39593.42578,4.833463219598139
32,Czechia,1502.9,28,1675.21,41608.02535,-11.465167343136597
10,Denmark,1665.47,17,1855.49,60229.91477,-11.409391943415372
185,Dominica,911.51,160,910.74,10818.02494,0.08447521146229683
151,Dominican Republic,1031.86,110,1173.44,17934.19325,-13.720853604171124
44,Ecuador,1463.74,65,1377.83,10890.45664,5.86921174525531
40,Egypt,1482.63,93,1228.15,12605.97574,17.16409353648584
71,El Salvador,1333.48,118,1148.88,8419.799438,13.843477217506067
98,Equatorial Guinea,1215.33,73,1344.47,18157.51367,-10.62592053187201
110,Estonia,1177.4,106,1180.34,37645.22136,-0.2497027348394621
144,Eswatini,1070.89,171,807.89,8865.017138,24.559011663196042
138,Ethiopia,1088.27,127,1117.66,2422.681026,-2.7006165749308626
163,Fiji,993.37,72,1345.58,12158.24331,-35.45607376908905
59,Finland,1398.41,29,1669.24,50937.16075,-19.366995373316833
4,France,1764.85,5,2037.69,46991.18203,-15.459670793551869
79,Gabon,1301.84,135,1079.87,15105.13431,17.05048239414982
124,Gambia,1137.47,123,1124.04,2276.650708,1.1806904797489222
82,Georgia,1296.46,126,1118.09,14731.20059,13.758233960168468
11,Germany,1658.96,2,2059.75,54844.54597,-24.159111732651777
60,Ghana,1393.47,60,1416.77,5749.655385,-1.672084795510485
49,Greece,1441.45,61,1409.31,27948.64973,2.229699261160644
171,Grenada,969.0,166,849.17,15273.54036,12.36635706914345
118,Guatemala,1161.96,83,1259.69,8852.947743,-8.41078866742401
83,Guinea,1294.89,136,1078.56,2754.418384,16.70643838472767
115,Guinea-Bissau,1165.53,169,835.18,1948.643401,28.343328786045834
172,Guyana,968.74,88,1247.77,19702.97442,-28.803394099551994
