Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,Gender Inequality Index,Country,YR2021
Albania,1361.81,1346.01,ALB,1.1602205887752297,0.144,Albania,2811666.0
Algeria,1480.59,1288.27,DZA,12.989416381307448,0.499,Algeria,44616626.0
Angola,1149.08,1041.91,AGO,9.326591708149117,0.537,Angola,33933611.0
Argentina,1770.65,1660.37,ARG,6.228221274673153,0.287,Argentina,45808747.0
Armenia,1242.42,1072.97,ARM,13.63870510777354,0.216,Armenia,2968128.0
Australia,1483.73,1906.2,AUS,-28.473509331212554,0.073,Australia,25739256.0
Austria,1502.47,1813.37,AUT,-20.692592863751013,0.053,Austria,8956279.0
Azerbaijan,1127.17,1274.5,AZE,-13.07078790244594,0.294,Azerbaijan,10145212.0
Bahrain,1289.25,1254.12,BHR,2.724840023269352,0.181,Bahrain,1748295.0
Bangladesh,883.18,1017.16,BGD,-15.170180484159518,0.53,Bangladesh,166303494.0
Barbados,982.27,966.8,BRB,1.5749233917354728,0.268,Barbados,287708.0
Belarus,1226.55,1457.75,BLR,-18.849618849618853,0.104,Belarus,9340314.0
Belgium,1821.92,1823.83,BEL,-0.1048344603495134,0.048,Belgium,11587882.0
Belize,950.88,839.85,BLZ,11.67655224634023,0.364,Belize,404915.0
Benin,1258.71,1020.94,BEN,18.88997465659286,0.602,Benin,12451031.0
Bhutan,910.96,769.0,BTN,15.583560200228334,0.415,Bhutan,779900.0
Bolivia,1298.81,1213.1,BOL,6.599117653852376,0.418,Bolivia,11832936.0
Bosnia and Herzegovina,1403.98,1385.2,BIH,1.3376258921067232,0.136,Bosnia and Herzegovina,3263459.0
Botswana,1060.17,979.35,BWA,7.623305696256264,0.468,Botswana,2397240.0
Brazil,1837.56,1975.82,BRA,-7.524108056335575,0.39,Brazil,213993441.0
Bulgaria,1325.16,1229.79,BGR,7.196866793443819,0.21,Bulgaria,6899125.0
Burkina Faso,1425.64,1050.87,BFA,26.287842653124223,0.621,Burkina Faso,21497097.0
Burundi,1076.26,799.08,BDI,25.753999962834257,0.505,Burundi,12255429.0
Cambodia,954.3,1142.14,KHM,-19.68353767159176,0.461,Cambodia,16946446.0
Cameroon,1484.95,1417.44,CMR,4.546281019562947,0.565,Cameroon,27224262.0
Canada,1473.82,1986.51,CAN,-34.786473246393726,0.069,Canada,38246108.0
Chile,1514.86,1580.9,CHL,-4.359478763714152,0.187,Chile,19212362.0
China PR,1305.06,1862.87,CHN,-42.74209614883607,0.192,China,1412360000.0
Colombia,1604.07,1700.4,COL,-6.005348893751529,0.424,Colombia,51265841.0
Congo,1215.09,1161.46,COG,4.413664831411655,0.564,"Congo, Rep.",5657017.0
Congo DR,1332.84,1159.0,COD,13.042825845562852,0.601,"Congo, Dem. Rep.",92377986.0
Costa Rica,1500.06,1612.44,CRI,-7.491700331986728,0.256,Costa Rica,5139053.0
Cote d'Ivoire,1435.91,1379.39,CIV,3.936179844140648,0.613,Cote d'Ivoire,27053629.0
Croatia,1632.15,1404.39,HRV,13.954599761051371,0.093,Croatia,3899000.0
Cuba,978.65,1217.56,CUB,-24.412200480253407,0.303,Cuba,11317498.0
Cyprus,1180.52,1123.46,CYP,4.833463219598139,0.123,Cyprus,1215588.0
Czechia,1502.9,1675.21,CZE,-11.465167343136596,0.12,Czechia,10703446.0
Denmark,1665.47,1855.49,DNK,-11.409391943415372,0.013,Denmark,5856733.0
Dominican Republic,1031.86,1173.44,DOM,-13.720853604171124,0.429,Dominican Republic,10953714.0
Ecuador,1463.74,1377.83,ECU,5.86921174525531,0.362,Ecuador,17888474.0
Egypt,1482.63,1228.15,EGY,17.16409353648584,0.443,"Egypt, Arab Rep.",104258327.0
El Salvador,1333.48,1148.88,SLV,13.843477217506068,0.376,El Salvador,6518500.0
Estonia,1177.4,1180.34,EST,-0.2497027348394621,0.1,Estonia,1329254.0
Eswatini,1070.89,807.89,SWZ,24.55901166319604,0.54,Eswatini,1172369.0
Ethiopia,1088.27,1117.66,ETH,-2.7006165749308626,0.52,Ethiopia,117876226.0
Fiji,993.37,1345.58,FJI,-35.45607376908905,0.318,Fiji,902899.0
Finland,1398.41,1669.24,FIN,-19.36699537331684,0.033,Finland,5541696.0
France,1764.85,2037.69,FRA,-15.459670793551869,0.083,France,67499343.0
Gabon,1301.84,1079.87,GAB,17.05048239414982,0.541,Gabon,2278829.0
Gambia,1137.47,1124.04,GMB,1.1806904797489222,0.611,"Gambia, The",2486937.0
Georgia,1296.46,1118.09,GEO,13.758233960168468,0.28,Georgia,3708610.0
Germany,1658.96,2059.75,DEU,-24.159111732651777,0.073,Germany,83129285.0
Ghana,1393.47,1416.77,GHA,-1.672084795510485,0.529,Ghana,31732128.0
Greece,1441.45,1409.31,GRC,2.229699261160644,0.119,Greece,10664568.0
Guatemala,1161.96,1259.69,GTM,-8.41078866742401,0.481,Guatemala,17109746.0
Guinea,1294.89,1078.56,GIN,16.70643838472767,0.621,Guinea,13497237.0
Guinea-Bissau,1165.53,835.18,GNB,28.343328786045834,0.627,Guinea-Bissau,2015490.0
Guyana,968.74,1247.77,GUY,-28.803394099552,0.454,Guyana,790329.0
Haiti,1269.07,1445.71,HTI,-13.918853963926349,0.635,Haiti,11541683.0
Honduras,1299.69,1145.7,HND,11.848209957759158,0.431,Honduras,10062994.0
Hungary,1486.76,1538.35,HUN,-3.469961527079012,0.221,Hungary,9709886.0
Iceland,1379.61,1870.66,ISL,-35.59339233551512,0.043,Iceland,372295.0
India,1198.65,1425.51,IND,-18.926292078588403,0.49,India,1393409033.0
Indonesia,1019.19,1209.02,IDN,-18.625575211687707,0.444,Indonesia,276361788.0
IR Iran,1558.64,1364.73,IRN,12.440974182620751,0.459,"Iran, Islamic Rep.",85028760.0
Israel,1316.35,1365.34,ISR,-3.7216545751509855,0.083,Israel,9364000.0
Italy,1713.86,1868.29,ITA,-9.010654312487604,0.056,Italy,59066225.0
Jamaica,1382.06,1543.93,JAM,-11.71222667612116,0.335,Jamaica,2973462.0
Japan,1554.69,1917.07,JPN,-23.30882684007744,0.083,Japan,125681593.0
Jordan,1279.74,1377.44,JOR,-7.634363230031103,0.471,Jordan,10269022.0
Kazakhstan,1166.28,1234.3,KAZ,-5.832218678190484,0.161,Kazakhstan,19002586.0
Kenya,1202.26,991.78,KEN,17.507028429790562,0.506,Kenya,54985702.0
Korea Republic,1526.02,1850.09,KOR,-21.236287859923195,0.067,"Korea, Rep.",51744876.0
Kyrgyz Republic,1232.91,1120.59,KGZ,9.110154025841316,0.37,Kyrgyz Republic,6694200.0
