Mens Rank,Country Name,Mens Points,Womens Rank,Womens Points,2021 HDI,%Diff
66,Albania,1361.81,71,1346.01,0.796,1.1602205887752297
41,Algeria,1480.59,79,1288.27,0.745,12.989416381307448
152,Andorra,1028.7,177,751.46,0.858,26.95052007387965
120,Angola,1149.08,141,1041.91,0.586,9.326591708149115
132,Antigua and Barbuda,1117.01,172,804.42,0.788,27.98453012954226
3,Argentina,1770.65,31,1660.37,0.842,6.228221274673153
92,Armenia,1242.42,139,1072.97,0.759,13.638705107773541
39,Australia,1483.73,12,1906.2,0.951,-28.473509331212554
33,Austria,1502.47,20,1813.37,0.916,-20.692592863751013
128,Azerbaijan,1127.17,81,1274.5,0.745,-13.070787902445941
85,Bahrain,1289.25,86,1254.12,0.875,2.7248400232693513
192,Bangladesh,883.18,147,1017.16,0.661,-15.170180484159518
166,Barbados,982.27,154,966.8,0.79,1.5749233917354728
96,Belarus,1226.55,55,1457.75,0.808,-18.849618849618853
2,Belgium,1821.92,19,1823.83,0.937,-0.1048344603495134
175,Belize,950.88,168,839.85,0.683,11.67655224634023
91,Benin,1258.71,145,1020.94,0.525,18.88997465659286
186,Bhutan,910.96,176,769.0,0.666,15.583560200228334
81,Bolivia,1298.81,98,1213.1,0.692,6.5991176538523755
57,Bosnia and Herzegovina,1403.98,63,1385.2,0.78,1.3376258921067232
146,Botswana,1060.17,151,979.35,0.693,7.623305696256264
1,Brazil,1837.56,9,1975.82,0.754,-7.524108056335575
74,Bulgaria,1325.16,92,1229.79,0.795,7.196866793443819
55,Burkina Faso,1425.64,140,1050.87,0.449,26.287842653124223
141,Burundi,1076.26,173,799.08,0.426,25.753999962834257
174,Cambodia,954.3,120,1142.14,0.593,-19.683537671591758
38,Cameroon,1484.95,59,1417.44,0.576,4.546281019562947
43,Canada,1473.82,7,1986.51,0.936,-34.786473246393726
29,Chile,1514.86,39,1580.9,0.855,-4.359478763714152
78,China PR,1305.06,16,1862.87,0.768,-42.74209614883607
17,Colombia,1604.07,25,1700.4,0.752,-6.005348893751529
127,Comoros,1127.44,179,733.0,0.558,34.985453771375866
99,Congo,1215.09,114,1161.46,0.571,4.413664831411655
72,Congo DR,1332.84,115,1159.0,0.479,13.042825845562852
34,Costa Rica,1500.06,37,1612.44,0.809,-7.491700331986728
52,Cote d'Ivoire,1435.91,64,1379.39,0.55,3.9361798441406477
15,Croatia,1632.15,62,1404.39,0.858,13.954599761051373
167,Cuba,978.65,97,1217.56,0.764,-24.412200480253407
108,Cyprus,1180.52,124,1123.46,0.896,4.833463219598139
32,Czechia,1502.9,28,1675.21,0.889,-11.465167343136597
10,Denmark,1665.47,17,1855.49,0.948,-11.409391943415372
185,Dominica,911.51,160,910.74,0.72,0.08447521146229683
151,Dominican Republic,1031.86,110,1173.44,0.767,-13.720853604171124
44,Ecuador,1463.74,65,1377.83,0.74,5.86921174525531
40,Egypt,1482.63,93,1228.15,0.731,17.16409353648584
71,El Salvador,1333.48,118,1148.88,0.675,13.843477217506067
98,Equatorial Guinea,1215.33,73,1344.47,0.596,-10.62592053187201
110,Estonia,1177.4,106,1180.34,0.89,-0.2497027348394621
144,Eswatini,1070.89,171,807.89,0.597,24.559011663196042
138,Ethiopia,1088.27,127,1117.66,0.498,-2.7006165749308626
163,Fiji,993.37,72,1345.58,0.73,-35.45607376908905
59,Finland,1398.41,29,1669.24,0.94,-19.366995373316833
4,France,1764.85,5,2037.69,0.903,-15.459670793551869
79,Gabon,1301.84,135,1079.87,0.706,17.05048239414982
124,Gambia,1137.47,123,1124.04,0.5,1.1806904797489222
82,Georgia,1296.46,126,1118.09,0.802,13.758233960168468
11,Germany,1658.96,2,2059.75,0.942,-24.159111732651777
60,Ghana,1393.47,60,1416.77,0.632,-1.672084795510485
49,Greece,1441.45,61,1409.31,0.887,2.229699261160644
171,Grenada,969.0,166,849.17,0.795,12.36635706914345
118,Guatemala,1161.96,83,1259.69,0.627,-8.41078866742401
83,Guinea,1294.89,136,1078.56,0.465,16.70643838472767
115,Guinea-Bissau,1165.53,169,835.18,0.483,28.343328786045834
172,Guyana,968.74,88,1247.77,0.714,-28.803394099551994
