,Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,HDI rank,Value
0,Albania,1361.81,1346.01,ALB,1.160220589,67.0,0.796
1,Algeria,1480.59,1288.27,DZA,12.98941638,91.0,0.745
3,Andorra,1028.7,751.46,AND,26.95052007,40.0,0.858
4,Angola,1149.08,1041.91,AGO,9.326591708,148.0,0.586
6,Antigua and Barbuda,1117.01,804.42,ATG,27.98453013,71.0,0.788
7,Argentina,1770.65,1660.37,ARG,6.228221275,47.0,0.842
8,Armenia,1242.42,1072.97,ARM,13.63870511,85.0,0.759
10,Australia,1483.73,1906.2,AUS,-28.47350933,5.0,0.951
11,Austria,1502.47,1813.37,AUT,-20.69259286,25.0,0.916
12,Azerbaijan,1127.17,1274.5,AZE,-13.0707879,91.0,0.745
13,Bahrain,1289.25,1254.12,BHR,2.724840023,35.0,0.875
14,Bangladesh,883.18,1017.16,BGD,-15.17018048,129.0,0.661
15,Barbados,982.27,966.8,BRB,1.574923392,70.0,0.79
16,Belarus,1226.55,1457.75,BLR,-18.84961885,60.0,0.808
17,Belgium,1821.92,1823.83,BEL,-0.10483446,13.0,0.937
18,Belize,950.88,839.85,BLZ,11.67655225,123.0,0.683
19,Benin,1258.71,1020.94,BEN,18.88997466,166.0,0.525
21,Bhutan,910.96,769.0,BTN,15.5835602,127.0,0.666
22,Bolivia,1298.81,1213.1,BOL,6.599117654,118.0,0.692
23,Bosnia and Herzegovina,1403.98,1385.2,BIH,1.337625892,74.0,0.78
24,Botswana,1060.17,979.35,BWA,7.623305696,117.0,0.693
25,Brazil,1837.56,1975.82,BRA,-7.524108056,87.0,0.754
26,Bulgaria,1325.16,1229.79,BGR,7.196866793,68.0,0.795
27,Burkina Faso,1425.64,1050.87,BFA,26.28784265,184.0,0.449
28,Burundi,1076.26,799.08,BDI,25.75399996,187.0,0.426
29,Cambodia,954.3,1142.14,KHM,-19.68353767,146.0,0.593
30,Cameroon,1484.95,1417.44,CMR,4.54628102,151.0,0.576
31,Canada,1473.82,1986.51,CAN,-34.78647325,15.0,0.936
33,Chile,1514.86,1580.9,CHL,-4.359478764,42.0,0.855
34,China PR,1305.06,1862.87,CHN,-42.74209615,79.0,0.768
36,Colombia,1604.07,1700.4,COL,-6.005348894,88.0,0.752
37,Comoros,1127.44,733.0,COM,34.98545377,156.0,0.558
38,Congo,1215.09,1161.46,COG,4.413664831,153.0,0.571
39,Congo DR,1332.84,1159.0,COD,13.04282585,179.0,0.479
41,Costa Rica,1500.06,1612.44,CRI,-7.491700332,58.0,0.809
42,Cote d'Ivoire,1435.91,1379.39,CIV,3.936179844,159.0,0.55
43,Croatia,1632.15,1404.39,HRV,13.95459976,40.0,0.858
44,Cuba,978.65,1217.56,CUB,-24.41220048,83.0,0.764
45,Cyprus,1180.52,1123.46,CYP,4.83346322,29.0,0.896
46,Czechia,1502.9,1675.21,CZE,-11.46516734,32.0,0.889
47,Denmark,1665.47,1855.49,DNK,-11.40939194,6.0,0.948
48,Dominica,911.51,910.74,DMA,0.084475211,102.0,0.72
49,Dominican Republic,1031.86,1173.44,DOM,-13.7208536,80.0,0.767
50,Ecuador,1463.74,1377.83,ECU,5.869211745,95.0,0.74
51,Egypt,1482.63,1228.15,EGY,17.16409354,97.0,0.731
52,El Salvador,1333.48,1148.88,SLV,13.84347722,125.0,0.675
53,Equatorial Guinea,1215.33,1344.47,GNQ,-10.62592053,145.0,0.596
54,Estonia,1177.4,1180.34,EST,-0.249702735,31.0,0.89
55,Eswatini,1070.89,807.89,SWZ,24.55901166,144.0,0.597
56,Ethiopia,1088.27,1117.66,ETH,-2.700616575,175.0,0.498
58,Fiji,993.37,1345.58,FJI,-35.45607377,99.0,0.73
59,Finland,1398.41,1669.24,FIN,-19.36699537,11.0,0.94
60,France,1764.85,2037.69,FRA,-15.45967079,28.0,0.903
61,Gabon,1301.84,1079.87,GAB,17.05048239,112.0,0.706
62,Gambia,1137.47,1124.04,GMB,1.18069048,174.0,0.5
63,Georgia,1296.46,1118.09,GEO,13.75823396,63.0,0.802
64,Germany,1658.96,2059.75,DEU,-24.15911173,9.0,0.942
65,Ghana,1393.47,1416.77,GHA,-1.672084796,133.0,0.632
66,Greece,1441.45,1409.31,GRC,2.229699261,33.0,0.887
67,Grenada,969.0,849.17,GRD,12.36635707,68.0,0.795
69,Guatemala,1161.96,1259.69,GTM,-8.410788667,135.0,0.627
70,Guinea,1294.89,1078.56,GIN,16.70643838,182.0,0.465
71,Guinea-Bissau,1165.53,835.18,GNB,28.34332879,177.0,0.483
72,Guyana,968.74,1247.77,GUY,-28.8033941,108.0,0.714
73,Haiti,1269.07,1445.71,HTI,-13.91885396,163.0,0.535
74,Honduras,1299.69,1145.7,HND,11.84820996,137.0,0.621
75,Hong Kong,1058.37,1314.35,HKG,-24.18624867,4.0,0.952
76,Hungary,1486.76,1538.35,HUN,-3.469961527,46.0,0.846
77,Iceland,1379.61,1870.66,ISL,-35.59339234,3.0,0.959
78,India,1198.65,1425.51,IND,-18.92629208,132.0,0.633
79,Indonesia,1019.19,1209.02,IDN,-18.62557521,114.0,0.705
80,IR Iran,1558.64,1364.73,IRN,12.44097418,76.0,0.774
81,Israel,1316.35,1365.34,ISR,-3.721654575,22.0,0.919
82,Italy,1713.86,1868.29,ITA,-9.010654312,30.0,0.895
83,Jamaica,1382.06,1543.93,JAM,-11.71222668,110.0,0.709
84,Japan,1554.69,1917.07,JPN,-23.30882684,19.0,0.925
85,Jordan,1279.74,1377.44,JOR,-7.63436323,102.0,0.72
86,Kazakhstan,1166.28,1234.3,KAZ,-5.832218678,56.0,0.811
87,Kenya,1202.26,991.78,KEN,17.50702843,152.0,0.575
89,Korea Republic,1526.02,1850.09,KOR,-21.23628786,19.0,0.925
90,Kyrgyz Republic,1232.91,1120.59,KGZ,9.110154026,118.0,0.692
91,Laos,914.66,1257.98,LAO,-37.535259,140.0,0.607
92,Latvia,1125.36,1168.47,LVA,-3.830774152,39.0,0.863
93,Lebanon,1211.71,1032.23,LBN,14.81212501,112.0,0.706
94,Lesotho,1061.4,842.0,LSO,20.67081213,168.0,0.514
95,Liberia,1051.25,891.31,LBR,15.21426873,178.0,0.481
