,Player,npxG p90,G-PK p90,npG minus npxG 
1,Yunis Abdelhamid,0.04,0.06,0.02
2,Salis Abdul Samed,0.03,0.04,0.01
7,Tammy Abraham,0.53,0.41,-0.12
9,Francesco Acerbi,0.08,0.14,0.06
12,Marcos Acuña,0.06,0.04,-0.02
18,Yacine Adli,0.09,0.04,-0.05
25,Nayef Aguerd,0.06,0.07,0.01
36,Ludovic Ajorque,0.29,0.3,0.01
37,Manuel Akanji,0.07,0.04,-0.03
46,David Alaba,0.05,0.07,0.02
50,Jordi Alba,0.04,0.07,0.03
52,Luis Alberto,0.14,0.19,0.05
58,Omar Alderete,0.04,0.07,0.03
61,Carles Aleñá,0.08,0.04,-0.04
62,Trent Alexander-Arnold,0.08,0.06,-0.02
84,Kelvin Amian,0.08,0.03,-0.05
90,Felipe Anderson,0.17,0.19,0.02
95,Benjamin André,0.05,0.07,0.02
98,Angeliño,0.06,0.08,0.02
102,Waldemar Anton,0.06,0.07,0.01
104,Michail Antonio,0.33,0.3,-0.03
106,Houssem Aouar,0.28,0.22,-0.06
113,Ronald Araújo,0.06,0.16,0.1
121,Marko Arnautović,0.42,0.4,-0.02
122,Maximilian Arnold,0.05,0.12,0.07
136,Iago Aspas,0.32,0.44,0.12
143,Tommaso Augello,0.01,0.04,0.03
152,Luke Ayling,0.06,0.08,0.02
160,Milan Badelj,0.04,0.03,-0.01
177,Ridle Baku,0.08,0.11,0.03
186,Iván Balliu,0.02,0.03,0.01
190,Jonathan Bamba,0.12,0.04,-0.08
196,Antonín Barák,0.25,0.27,0.02
201,Melvin Bard,0.03,0.07,0.04
205,Nicolò Barella,0.16,0.09,-0.07
224,Alessandro Bastoni,0.02,0.04,0.02
225,Simone Bastoni,0.07,0.12,0.05
234,Mohamed Bayo,0.43,0.45,0.02
239,Rodrigo Becão,0.03,0.06,0.03
242,Jan Bednarek,0.08,0.14,0.06
252,Stefan Bell,0.05,0.06,0.01
254,Raoul Bellanova,0.06,0.04,-0.02
256,Jean-Ricner Bellegarde,0.1,0.08,-0.02
258,Jude Bellingham,0.14,0.1,-0.04
262,Fran Beltrán,0.01,0.03,0.02
265,Wissam Ben Yedder,0.4,0.6,0.2
284,Karim Benzema,0.53,0.69,0.16
286,Domenico Berardi,0.25,0.29,0.04
308,Giulian Biancone,0.08,0.04,-0.04
315,Cristiano Biraghi,0.05,0.09,0.04
323,Ludovic Blas,0.23,0.15,-0.08
338,Giacomo Bonaventura,0.2,0.16,-0.04
345,Rafael Borré,0.35,0.3,-0.05
347,Denis Bouanga,0.31,0.33,0.02
350,Sofiane Boufal,0.23,0.19,-0.04
355,Benjamin Bourigeaud,0.15,0.31,0.16
358,Jarrod Bowen,0.34,0.36,0.02
367,Darko Brašanac,0.06,0.04,-0.02
368,Lilian Brassier,0.05,0.04,-0.01
373,Josip Brekalo,0.19,0.28,0.09
374,Gleison Bremer,0.13,0.09,-0.04
379,Dylan Bronn,0.06,0.04,-0.02
380,John Brooks,0.03,0.03,0
382,Josh Brownhill,0.04,0.06,0.02
383,Marcelo Brozović,0.04,0.06,0.02
396,Jonathan Burkardt,0.45,0.34,-0.11
403,Sergio Busquets,0.02,0.06,0.04
414,Leandro Cabrera,0.04,0.05,0.01
418,Anthony Caci,0.04,0.04,0
430,Mattia Caldara,0.06,0.03,-0.03
434,Hakan Çalhanoğlu,0.14,0.15,0.01
439,Mahdi Camara,0.07,0.09,0.02
448,Sergio Canales,0.15,0.16,0.01
450,João Cancelo,0.12,0.03,-0.09
452,Antonio Candreva,0.13,0.17,0.04
459,Étienne Capoue,0.02,0.04,0.02
460,Gianluca Caprari,0.19,0.33,0.14
461,Francesco Caputo,0.32,0.35,0.03
470,Diego Carlos,0.08,0.09,0.01
472,Yannick Carrasco,0.16,0.14,-0.02
477,Casemiro,0.08,0.04,-0.04
478,Matty Cash,0.07,0.11,0.04
484,Jean-Charles Castelletto,0.04,0.04,0
490,Catena,0.04,0.06,0.02
494,Pietro Ceccaroni,0.06,0.06,0
495,Federico Ceccherini,0.07,0.04,-0.03
497,Zeki Çelik,0.05,0.07,0.02
515,Brendan Chardonnet,0.05,0.1,0.05
516,Xavier Chavalerin,0.06,0.17,0.11
528,Pedro Chirivella,0.04,0.1,0.06
529,Joris Chotard,0.03,0.03,0
